2022-01-16 15:43:10,486 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:10,996 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:10,997 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:11,507 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:11,508 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:12,022 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:12,023 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:12,534 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:12,534 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:13,049 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:13,050 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:13,559 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:13,559 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:14,071 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:14,071 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:14,580 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:14,581 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:15,088 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:15,088 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:15,599 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:15,600 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:16,111 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:16,111 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:16,615 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:16,616 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:17,119 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:17,119 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:17,635 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:17,637 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:18,147 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:18,148 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:18,649 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:18,649 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:19,152 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:19,153 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:19,656 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:19,657 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:20,164 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:20,165 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:20,669 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:20,669 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:21,182 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:21,182 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:21,688 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:21,689 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
2022-01-16 15:43:22,194 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, b'{"action": "presence", "time": "Sun Jan 16 15:43:01 2022", "user": {"name": "User", "status": "here"}}') 
2022-01-16 15:43:22,195 INFO       log_config wrapped (<__main__.Server object at 0x0000027658CA6D70>, <socket.socket fd=500, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 8888), raddr=('127.0.0.1', 56255)>, 200, 'User is currently present.') 
